                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.056,                 3.8455,                 1.8664,                0.00639,                0.08132,                0.00972,                0.00534,                 2.3927,                 4.9911,                 2.2658,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.9912,                 3.6929,                 1.8009,                0.47306,                0.02539,                0.02945,                0.01609,                  2.203,                 4.5926,                 2.1143,             1.7815e-05,             1.7815e-05,             1.7815e-05
                      3,                 2.0095,                  3.733,                  1.786,                0.52238,                0.06052,                0.05311,                0.03145,                 2.1008,                  4.227,                 2.0403,             2.7262e-05,             2.7262e-05,             2.7262e-05
                      4,                 1.9882,                 3.5656,                 1.7845,                0.42035,                0.08473,                0.09959,                0.05434,                 2.0194,                 3.7105,                 1.9341,             3.6671e-05,             3.6671e-05,             3.6671e-05
                      5,                 1.8654,                  3.036,                 1.7365,                0.36553,                0.12259,                0.12936,                0.07679,                  1.996,                 3.3242,                 1.8632,             4.6042e-05,             4.6042e-05,             4.6042e-05
                      6,                 1.7948,                 3.0152,                 1.6552,                0.51402,                0.11902,                0.15624,                 0.1008,                  1.902,                 2.9435,                 1.7675,             5.5376e-05,             5.5376e-05,             5.5376e-05
                      7,                 1.7518,                 2.8018,                 1.6281,                0.24435,                0.21417,                0.18567,                0.11875,                 1.8447,                 2.7499,                 1.6967,             6.4672e-05,             6.4672e-05,             6.4672e-05
                      8,                 1.7323,                 2.7039,                 1.5989,                0.57299,                0.18914,                0.23404,                0.15223,                 1.7683,                 2.5685,                 1.6315,             7.3931e-05,             7.3931e-05,             7.3931e-05
                      9,                 1.7021,                 2.6046,                 1.5582,                0.40156,                0.30662,                0.29511,                0.18968,                 1.7421,                 2.3659,                 1.5981,             8.3152e-05,             8.3152e-05,             8.3152e-05
                     10,                 1.6791,                 2.6106,                 1.5792,                0.47829,                0.30813,                0.31617,                0.20505,                 1.6931,                 2.2169,                 1.5549,             9.2335e-05,             9.2335e-05,             9.2335e-05
                     11,                 1.6434,                 2.4291,                 1.5407,                0.42264,                0.34383,                0.33027,                0.20955,                  1.659,                 2.2194,                 1.5277,             0.00010148,             0.00010148,             0.00010148
                     12,                 1.6639,                 2.4536,                 1.5678,                0.50949,                0.33112,                0.35512,                0.23163,                 1.6583,                 2.0335,                 1.5246,             0.00011059,             0.00011059,             0.00011059
                     13,                 1.5654,                 2.2764,                 1.4933,                0.52603,                0.36193,                 0.3878,                0.26472,                 1.5967,                 1.9354,                 1.4823,             0.00011617,             0.00011617,             0.00011617
                     14,                 1.5489,                 2.2936,                  1.503,                0.60953,                0.33708,                0.39976,                0.27177,                 1.5486,                 1.8429,                 1.4503,             0.00011617,             0.00011617,             0.00011617
                     15,                 1.5058,                 2.1617,                 1.4784,                0.54744,                0.33302,                0.38852,                0.25872,                 1.5676,                 1.8101,                 1.4579,             0.00011594,             0.00011594,             0.00011594
                     16,                  1.549,                 2.1465,                 1.4863,                0.54274,                0.36946,                 0.4155,                0.28549,                 1.5277,                 1.7729,                 1.4275,              0.0001157,              0.0001157,              0.0001157
                     17,                 1.5903,                 2.1906,                   1.49,                0.50093,                0.44845,                0.42682,                0.29243,                 1.5108,                 1.7968,                  1.416,             0.00011547,             0.00011547,             0.00011547
                     18,                 1.5948,                 2.1357,                 1.4721,                0.59381,                0.37314,                0.41759,                0.28889,                   1.52,                 1.7246,                 1.4244,             0.00011523,             0.00011523,             0.00011523
                     19,                 1.4619,                 2.0117,                 1.4412,                0.63113,                0.35259,                0.44555,                 0.3137,                 1.5045,                 1.7124,                 1.4154,             0.00011499,             0.00011499,             0.00011499
                     20,                 1.5158,                 2.0654,                 1.4776,                 0.5503,                0.40503,                0.44614,                0.30266,                  1.479,                 1.6557,                 1.3885,             0.00011476,             0.00011476,             0.00011476
                     21,                 1.5307,                  1.953,                 1.4452,                0.51554,                0.45789,                0.48236,                0.32274,                 1.4444,                 1.6067,                  1.372,             0.00011452,             0.00011452,             0.00011452
                     22,                  1.469,                 1.9157,                 1.4014,                0.70811,                0.37598,                 0.4783,                0.32826,                 1.4335,                 1.5901,                 1.3665,             0.00011429,             0.00011429,             0.00011429
                     23,                 1.4424,                 1.8811,                  1.443,                0.72054,                0.40013,                0.50911,                0.35051,                 1.4022,                 1.5458,                 1.3441,             0.00011405,             0.00011405,             0.00011405
                     24,                 1.4593,                 1.9058,                 1.4163,                 0.6982,                0.43637,                0.50267,                0.35895,                 1.3707,                 1.4887,                 1.3451,             0.00011382,             0.00011382,             0.00011382
                     25,                 1.4152,                 1.8444,                  1.402,                0.61515,                 0.4563,                0.51289,                0.35682,                 1.3834,                 1.5082,                 1.3368,             0.00011358,             0.00011358,             0.00011358
                     26,                 1.4827,                 1.8904,                 1.4146,                0.67948,                0.42306,                0.50744,                0.35417,                 1.4042,                 1.4946,                 1.3397,             0.00011335,             0.00011335,             0.00011335
                     27,                 1.4315,                 1.8276,                 1.4057,                 0.7138,                0.44383,                0.50882,                0.35836,                 1.3866,                 1.4643,                 1.3352,             0.00011311,             0.00011311,             0.00011311
                     28,                 1.4421,                 1.8155,                 1.4132,                0.68051,                0.45439,                 0.5373,                0.37057,                 1.3472,                 1.4449,                   1.31,             0.00011287,             0.00011287,             0.00011287
                     29,                 1.5116,                  1.796,                 1.3871,                0.65175,                0.47452,                0.53636,                0.37118,                 1.3718,                 1.4332,                 1.3301,             0.00011264,             0.00011264,             0.00011264
                     30,                 1.3714,                 1.7826,                 1.3531,                0.66416,                0.48053,                0.54582,                0.37859,                 1.3682,                 1.4096,                 1.3273,              0.0001124,              0.0001124,              0.0001124
                     31,                  1.369,                 1.7054,                  1.364,                0.62047,                0.49705,                0.54587,                0.38742,                 1.3343,                 1.4088,                 1.3064,             0.00011217,             0.00011217,             0.00011217
                     32,                 1.3567,                 1.7183,                 1.3329,                0.69287,                0.48161,                0.55898,                0.39719,                 1.3132,                  1.378,                 1.2904,             0.00011193,             0.00011193,             0.00011193
                     33,                 1.4023,                 1.7351,                 1.3911,                0.72441,                0.45819,                0.56415,                0.39468,                 1.3234,                 1.3916,                 1.2976,              0.0001117,              0.0001117,              0.0001117
