                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.45,                 1.8498,                 1.3882,                0.56291,                0.42875,                0.47472,                0.31424,                 1.5001,                 1.5158,                  1.343,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  1.458,                 1.7222,                 1.3887,                0.59857,                0.46996,                0.52974,                0.35779,                 1.3615,                  1.343,                 1.2655,             1.7815e-05,             1.7815e-05,             1.7815e-05
                      3,                 1.4216,                 1.6291,                 1.3292,                0.56987,                0.52359,                0.57411,                0.38901,                 1.3208,                 1.2697,                 1.2359,             2.7262e-05,             2.7262e-05,             2.7262e-05
                      4,                  1.454,                 1.6492,                 1.3701,                0.66669,                0.49091,                0.58137,                0.40613,                 1.2845,                 1.2185,                 1.2248,             3.6671e-05,             3.6671e-05,             3.6671e-05
                      5,                 1.3705,                 1.4584,                 1.3289,                0.61566,                 0.5329,                0.60091,                0.41932,                 1.2851,                 1.1952,                 1.2187,             4.6042e-05,             4.6042e-05,             4.6042e-05
                      6,                  1.324,                 1.4984,                 1.3023,                0.62456,                0.57308,                0.60954,                0.43634,                 1.2719,                 1.1871,                 1.2061,             5.5376e-05,             5.5376e-05,             5.5376e-05
                      7,                 1.3032,                 1.3317,                 1.2773,                0.70297,                0.52655,                 0.6311,                0.44448,                 1.2596,                  1.175,                 1.1965,             6.4672e-05,             6.4672e-05,             6.4672e-05
                      8,                 1.3025,                 1.3207,                 1.2829,                0.70149,                0.56095,                0.63574,                 0.4423,                 1.2432,                 1.1475,                 1.1865,             7.3931e-05,             7.3931e-05,             7.3931e-05
                      9,                  1.264,                 1.2805,                 1.2422,                0.65152,                0.60582,                0.66001,                0.45875,                 1.2378,                 1.0845,                 1.1816,             8.3152e-05,             8.3152e-05,             8.3152e-05
                     10,                 1.2742,                 1.3209,                 1.2816,                0.68147,                0.61255,                0.66892,                0.47061,                 1.2291,                 1.0672,                 1.1772,             9.2335e-05,             9.2335e-05,             9.2335e-05
                     11,                 1.2703,                 1.2392,                 1.2459,                0.74583,                0.58792,                0.67669,                0.48381,                 1.2206,                 1.0172,                 1.1737,             0.00010148,             0.00010148,             0.00010148
                     12,                 1.3181,                 1.2818,                 1.2916,                0.70211,                0.60602,                0.69797,                0.50019,                 1.1931,                0.98687,                 1.1582,             0.00011059,             0.00011059,             0.00011059
                     13,                 1.2601,                 1.2221,                 1.2477,                0.73271,                0.60157,                0.70718,                0.50192,                 1.2114,                0.98308,                  1.162,             0.00011617,             0.00011617,             0.00011617
                     14,                 1.2465,                 1.2074,                  1.256,                0.73175,                0.62155,                0.70931,                0.50903,                 1.1969,                   0.96,                 1.1587,             0.00011617,             0.00011617,             0.00011617
                     15,                 1.1788,                 1.1465,                 1.2204,                0.77017,                 0.6072,                0.69809,                0.50719,                 1.2036,                0.95174,                 1.1655,             0.00011594,             0.00011594,             0.00011594
                     16,                 1.2209,                  1.142,                 1.2252,                0.78206,                0.60712,                0.70931,                0.51354,                 1.1811,                 0.9331,                 1.1453,              0.0001157,              0.0001157,              0.0001157
                     17,                 1.2585,                 1.1656,                 1.2387,                 0.7463,                0.65165,                0.73145,                 0.5353,                 1.1599,                 0.9151,                 1.1368,             0.00011547,             0.00011547,             0.00011547
                     18,                 1.2859,                 1.1415,                 1.2251,                0.72733,                0.66034,                0.73487,                 0.5241,                 1.1613,                0.91359,                 1.1333,             0.00011523,             0.00011523,             0.00011523
                     19,                 1.1938,                 1.0791,                 1.2221,                0.75361,                0.64012,                 0.7356,                0.52898,                 1.1543,                0.91199,                  1.125,             0.00011499,             0.00011499,             0.00011499
                     20,                 1.2243,                 1.1261,                 1.2285,                0.77576,                0.64947,                0.74776,                0.54235,                 1.1407,                0.90282,                 1.1226,             0.00011476,             0.00011476,             0.00011476
                     21,                 1.2383,                 1.0712,                 1.2244,                0.78124,                0.66181,                0.74881,                0.53318,                 1.1431,                0.88756,                  1.125,             0.00011452,             0.00011452,             0.00011452
                     22,                  1.238,                 1.0611,                 1.2095,                0.80141,                0.66405,                0.75773,                0.54164,                 1.1272,                0.85758,                 1.1179,             0.00011429,             0.00011429,             0.00011429
                     23,                 1.1808,                 1.0514,                 1.2268,                0.82596,                0.65305,                0.76802,                0.55124,                 1.1142,                0.85234,                 1.1061,             0.00011405,             0.00011405,             0.00011405
                     24,                 1.1841,                 1.0741,                 1.1899,                0.78424,                0.68407,                0.74508,                0.54053,                 1.1329,                0.85213,                 1.1141,             0.00011382,             0.00011382,             0.00011382
                     25,                 1.1695,                 1.0079,                 1.1931,                0.79836,                0.67792,                0.75712,                0.55459,                 1.1068,                 0.8463,                 1.1059,             0.00011358,             0.00011358,             0.00011358
                     26,                 1.1962,                 1.0323,                 1.1909,                0.76189,                 0.6978,                0.76533,                0.56226,                 1.1366,                0.84786,                 1.1153,             0.00011335,             0.00011335,             0.00011335
                     27,                 1.1726,                 1.0223,                 1.1945,                0.79276,                 0.6804,                0.78538,                0.57171,                 1.1079,                0.82635,                 1.1016,             0.00011311,             0.00011311,             0.00011311
                     28,                 1.1735,                 1.0018,                 1.2002,                0.82336,                0.69351,                0.79228,                0.58116,                 1.0849,                0.79753,                 1.0933,             0.00011287,             0.00011287,             0.00011287
                     29,                 1.2785,                 1.0661,                 1.2007,                0.81527,                0.69467,                0.78449,                0.58291,                 1.0874,                0.79836,                 1.0883,             0.00011264,             0.00011264,             0.00011264
                     30,                  1.137,                 0.9572,                 1.1647,                0.74117,                0.73706,                0.79226,                0.58377,                 1.0785,                0.80054,                 1.0815,              0.0001124,              0.0001124,              0.0001124
                     31,                 1.1401,                0.98086,                  1.174,                 0.8016,                0.73008,                0.78858,                0.58611,                  1.062,                0.79464,                 1.0815,             0.00011217,             0.00011217,             0.00011217
                     32,                 1.1288,                 1.0018,                  1.154,                0.76818,                0.74508,                0.80002,                0.59589,                 1.0773,                0.77705,                 1.0872,             0.00011193,             0.00011193,             0.00011193
                     33,                 1.1731,                 1.0061,                 1.1974,                0.78465,                0.73146,                0.80436,                0.60052,                 1.0466,                0.77115,                 1.0684,              0.0001117,              0.0001117,              0.0001117
                     34,                 1.1119,                0.94146,                 1.1475,                0.80837,                0.72729,                0.79451,                0.59928,                 1.0474,                0.77131,                 1.0708,             0.00011146,             0.00011146,             0.00011146
                     35,                 1.1448,                 1.0043,                 1.1962,                0.80412,                0.71835,                0.81132,                0.60957,                 1.0447,                0.76761,                 1.0692,             0.00011122,             0.00011122,             0.00011122
                     36,                 1.1145,                0.93949,                  1.169,                0.83622,                0.71372,                0.80997,                 0.6053,                 1.0519,                0.75616,                 1.0698,             0.00011099,             0.00011099,             0.00011099
                     37,                 1.1167,                0.95621,                 1.1681,                 0.8399,                0.71103,                0.80373,                0.60699,                 1.0327,                 0.7575,                 1.0672,             0.00011075,             0.00011075,             0.00011075
                     38,                 1.0832,                0.94751,                 1.1606,                0.81508,                 0.7361,                0.79824,                0.59995,                 1.0352,                0.75446,                 1.0689,             0.00011052,             0.00011052,             0.00011052
                     39,                 1.1316,                0.93728,                 1.1503,                 0.8054,                0.74252,                 0.8186,                0.61526,                 1.0425,                0.74585,                 1.0669,             0.00011028,             0.00011028,             0.00011028
